date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2019-02-02,34907359.931723684,25340937.01269725,3021,1130445708.2345247,64.23,67771998.0,401487374.69176126,1900.0,0.12820774000000001,4647,140680775705.965,2192,0.0961831404,4.25e-06,4792821,152
2019-02-03,78307457.93087651,33825241.11879249,4215,1155530430.5053358,65.65,58052365.0,400789575.2449283,1687.5,0.07681128,4747,145444902718.073,3067,0.004267250000000001,3.79e-06,2434516,135
2019-02-04,73411090.27221678,39067131.88206438,7607,1124369216.6557143,63.87,49250475.0,400495538.71708655,1650.0,0.17632837,9230,132580626719.693,6692,0.144320652,2.64e-06,5697926,132
2019-02-05,75853128.55880122,30786822.927058637,5913,1106608322.8470626,62.86,48771767.0,400638292.71254027,2100.0,0.12341499,8858,139086309466.989,4788,0.5451898088,2.58e-06,3595253,168
2019-02-06,84795838.15973637,55166080.98275482,3689,1078533956.528224,61.26,146371619.0,398704731.02130204,1525.0,0.17175773,6603,146197438849.288,3356,0.8934299298,3.79e-06,7027805,122
2019-02-07,58270468.31327977,42775386.797519125,3481,1100777387.20656,62.51,92434471.0,398941924.4070636,1787.5,0.14747212,6229,126505365264.028,3959,1.0849648165999999,3.79e-06,3505465,143
2019-02-08,132307624.50627102,89294364.4601154,4415,1100310501.4006534,62.48,94084306.0,450433075.9328758,1800.0,0.10559104,6943,124160555123.206,4093,0.7798622392,3.79e-06,3796645,144
2019-02-09,59713070.797522865,28920843.537467558,5683,1187178432.701316,67.41,72906743.0,450726363.9231461,1975.0,0.09985202,6943,130467014000.181,4988,0.3732040053,5.12e-06,3235555,158
2019-02-10,75792716.68814741,46791588.02994636,2947,1162733057.7926738,66.01,80275617.0,451112429.99717486,1625.0,0.08594791,4535,136888260483.788,2020,0.6568615494000001,5.12e-06,2984976,130
2019-02-11,43577273.31704703,34386620.56055679,2339,1175934240.245614,66.76,71458349.0,450996442.906992,1750.0,0.09677531,4663,130394689374.281,1947,2.3651953108000003,4.86e-06,2873759,140
2019-02-12,67800719.59101743,42043854.73740792,3959,1143926630.7459543,64.93,64185736.0,451677739.8152226,1937.5,0.1057969,6480,135668851399.282,3223,0.9120236618,3e-06,2434405,155
2019-02-13,84070081.12818056,50715667.90015409,6447,1155854858.6336172,65.6,59144580.0,446278935.9191408,1725.0,0.14302108,6279,138379862816.93,6130,0.000358176,5.12e-06,3850783,138
2019-02-14,200670872.36613712,96090183.4090975,5009,1137201006.9569378,64.54,59115294.0,444332532.1161916,1837.5,0.11062128,20691,142053654248.424,14720,18.9324430582,3.79e-06,2742552,147
2019-02-15,91867910.48569612,62855259.56012325,5543,1105184837.9067307,62.71,69091467.0,446777686.97907054,1600.0,0.17129143,59837,136324193504.69,52563,31.762268840799997,3.68e-06,6326330,128
2019-02-16,96129332.25551346,48521538.921490036,32020,1098878113.8954887,62.35,71658497.0,447006389.0159274,1850.0,0.24858561,37653,115171219126.175,60806,0.00034043100000000003,5.12e-06,12532775,148
2019-02-17,82116733.73331998,29812504.336130857,3220,1098093842.50676,62.3,83425628.0,447386548.38543123,1950.0,0.16288326,28525,128430887283.346,24510,15.528564694999998,4.24e-06,6683833,156
2019-02-18,134025570.9315485,54569035.54478107,5395,1118444006.374723,63.45,172847783.0,450644011.89429253,1837.5,0.2429588,27742,137074394998.515,22542,3.3462546525000003,3.74e-06,5719125,147
2019-02-19,177010490.75815058,97242626.57285596,3375,1193559943.584737,67.7,137410469.0,451496786.8673778,1575.0,0.19747399000000002,18767,138991464714.222,14755,26.361124842000002,4.31e-06,5039583,126
2019-02-20,107495650.9513531,56076192.83192599,4601,1182630449.2752593,67.07,102500845.0,451870344.83862484,1912.5,0.19311387,16496,118470125788.507,12090,1.8983881805999998,2.96e-06,3064544,153
2019-02-21,106994191.2314438,74479197.11280023,4224,1190433091.90442,67.51,84290326.0,451203769.9095523,1437.5,0.19296791,15122,112273917886.582,10427,2.0378717122000003,2.58e-06,6954678,115
2019-02-22,88005975.81864704,60639303.37010125,4833,1151867463.1158278,65.32,73661306.0,451810913.4238081,2037.5,0.10935811000000001,13025,107455096947.804,8627,1.3848617308,2.58e-06,4410949,163
2019-02-23,61568726.37399791,46220762.44084701,3924,1161167853.3826013,65.84,93440728.0,452746170.2476373,1737.5,0.16799464,10165,113540414644.701,5907,1.7556453272,3.33e-06,8787353,139
2019-02-24,228533919.68177098,93919180.7043397,4586,1219229502.4941175,69.12,132163469.0,451942667.5275517,1800.0,0.18825403000000002,11219,110738450608.396,7175,1.6377472512000002,3.27e-06,3382815,144
